Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	80539.06	40718.297	37338.297	32505.46
100	54234.215	22586.605	130935.63	23912.766
150	101412.41	45825.25	24604.38	24556.725
200	135197.52	56840.656	25722.82	22404.11
250	210727.31	87371.36	39977.664	30555.324
300	292008.1	119515.1	54358.77	36754.164
350	394476.47	155803.86	71836.52	43139.355
400	511150.4	201418.42	92360.4	50329.176
450	647854.56	252612.84	114987.8	58248.324
500	779330.94	301584.3	136953.88	63844.715
550	940453.1	361295.03	163909.27	70970.02
600	1132341.8	431656.88	196025.0	79182.48
650	1313486.2	497464.16	226682.55	85800.31
700	1520253.0	573821.6	263904.56	92295.23
750	1762993.5	661830.25	302083.97	100499.66
800	1981283.4	736378.5	336331.84	107380.67
850	2223536.5	831071.7	377679.12	113624.57
900	2552553.0	945582.75	432953.88	124037.86
950	2810431.2	1040571.7	475155.28	130415.76
1000	3096028.8	1142031.9	518048.16	136480.77
